,State_Name,District_Name,Crop
138285,Manipur,IMPHAL EAST,Peas & beans (Pulses)
67049,Haryana,GURGAON,Peas & beans (Pulses)
173490,Rajasthan,KOTA,Sannhamp
103380,Madhya Pradesh,BALAGHAT,Small millets
173853,Rajasthan,NAGAUR,Sunflower
67125,Haryana,HISAR,Masoor
173984,Rajasthan,PALI,Sannhamp
66623,Haryana,FATEHABAD,Arhar/Tur
103915,Madhya Pradesh,BARWANI,Linseed
173122,Rajasthan,KARAULI,Banana
223482,Uttar Pradesh,MORADABAD,Moth
67614,Haryana,JHAJJAR,Sesamum
102204,Kerala,WAYANAD,Pump Kin
174822,Rajasthan,RAJSAMAND,Soyabean
132240,Maharashtra,NANDED,Sesamum
174884,Rajasthan,SAWAI MADHOPUR,Cotton(lint)
67687,Haryana,JIND,Sesamum
3499,Andhra Pradesh,KADAPA,other oilseeds
222948,Uttar Pradesh,MEERUT,Sesamum
102753,Madhya Pradesh,ANUPPUR,Banana
102896,Madhya Pradesh,ASHOKNAGAR,Small millets
102381,Madhya Pradesh,ALIRAJPUR,Other  Rabi pulses
174362,Rajasthan,PRATAPGARH,Banana
69271,Haryana,PALWAL,Gram
65905,Haryana,AMBALA,Gram
171444,Rajasthan,JALORE,Arhar/Tur
237804,West Bengal,BANKURA,Linseed
105386,Madhya Pradesh,BHOPAL,Moong(Green Gram)
66036,Haryana,BHIWANI,Horse-gram
171911,Rajasthan,JHALAWAR,Tobacco
105057,Madhya Pradesh,BHIND,Other  Rabi pulses
171189,Rajasthan,JAISALMER,Dry chillies
105576,Madhya Pradesh,BURHANPUR,Castor seed
4279,Andhra Pradesh,KRISHNA,other oilseeds
224094,Uttar Pradesh,MUZAFFARNAGAR,Sannhamp
66469,Haryana,FARIDABAD,Gram
172512,Rajasthan,JODHPUR,Moth
238189,West Bengal,BARDHAMAN,Linseed
172469,Rajasthan,JHUNJHUNU,Arhar/Tur
11285,Arunachal Pradesh,PAPUM PARE,Turmeric
104620,Madhya Pradesh,BETUL,Banana
35648,Bihar,LAKHISARAI,Rapeseed &Mustard
101937,Kerala,THRISSUR,Pump Kin
100365,Kerala,KOZHIKODE,Sesamum
68840,Haryana,KURUKSHETRA,Bajra
177670,Tamil Nadu,ARIYALUR,Bajra
100412,Kerala,MALAPPURAM,Cardamom
68908,Haryana,MAHENDRAGARH,Rice
222398,Uttar Pradesh,MAU,Moong(Green Gram)
68558,Haryana,KARNAL,Barley
176820,Rajasthan,UDAIPUR,Tobacco
33085,Bihar,JEHANABAD,Other Kharif pulses
69186,Haryana,MEWAT,Maize
99786,Kerala,KOLLAM,Pump Kin
178890,Tamil Nadu,DHARMAPURI,Black pepper
178584,Tamil Nadu,CUDDALORE,Maize
32681,Bihar,JAMUI,Rice
